Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,2,7,1,1.02E-05
2018,2,7,2,0
2018,2,7,3,0
2018,2,7,4,0
2018,2,7,5,0
2018,2,7,6,0
2018,2,7,7,0
2018,2,7,8,0
2018,2,7,9,0
2018,2,7,10,0
2018,2,7,11,0
2018,2,7,12,0
2018,2,7,13,0
2018,2,7,14,0.000581404
2018,2,7,15,0.399765172
2018,2,7,16,0.692502465
2018,2,7,17,0.763141674
2018,2,7,18,0.73101886
2018,2,7,19,0.713949673
2018,2,7,20,0.712637772
2018,2,7,21,0.723242064
2018,2,7,22,0.756300347
2018,2,7,23,0.665506246
2018,2,7,24,0.290461816
2018,2,8,1,1.80E-05
2018,2,8,2,0
2018,2,8,3,0
2018,2,8,4,0
2018,2,8,5,0
2018,2,8,6,0
2018,2,8,7,0
2018,2,8,8,0
2018,2,8,9,0
2018,2,8,10,0
2018,2,8,11,0
2018,2,8,12,0
2018,2,8,13,0
2018,2,8,14,0.00082075
2018,2,8,15,0.496672848
2018,2,8,16,0.760741468
2018,2,8,17,0.749135633
2018,2,8,18,0.715055298
2018,2,8,19,0.68697011
2018,2,8,20,0.673226623
2018,2,8,21,0.670941775
2018,2,8,22,0.65718514
2018,2,8,23,0.535474518
2018,2,8,24,0.227118607
2018,2,9,1,2.84E-05
2018,2,9,2,0
2018,2,9,3,0
2018,2,9,4,0
2018,2,9,5,0
2018,2,9,6,0
2018,2,9,7,0
2018,2,9,8,0
2018,2,9,9,0
2018,2,9,10,0
2018,2,9,11,0
2018,2,9,12,0
2018,2,9,13,0
2018,2,9,14,0.000851658
2018,2,9,15,0.421090638
2018,2,9,16,0.703487445
2018,2,9,17,0.705549258
2018,2,9,18,0.681216599
2018,2,9,19,0.655008472
2018,2,9,20,0.639641005
2018,2,9,21,0.626510308
2018,2,9,22,0.613280422
2018,2,9,23,0.503034612
2018,2,9,24,0.200265067
2018,2,10,1,4.71E-05
2018,2,10,2,0
2018,2,10,3,0
2018,2,10,4,0
2018,2,10,5,0
2018,2,10,6,0
2018,2,10,7,0
2018,2,10,8,0
2018,2,10,9,0
2018,2,10,10,0
2018,2,10,11,0
2018,2,10,12,0
2018,2,10,13,0
2018,2,10,14,0.000671063
2018,2,10,15,0.334018939
2018,2,10,16,0.548976339
2018,2,10,17,0.614183421
2018,2,10,18,0.640260522
2018,2,10,19,0.660951081
2018,2,10,20,0.674636655
2018,2,10,21,0.696004762
2018,2,10,22,0.71649466
2018,2,10,23,0.608967546
2018,2,10,24,0.271990402
