Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind capacity
2018,1,28,21,0.03042511
2018,1,28,22,0.036679434
2018,1,28,23,0.063145405
2018,1,28,24,0.17827858
2018,1,29,1,0.314398738
2018,1,29,2,0.448920284
2018,1,29,3,0.532333141
2018,1,29,4,0.57359772
2018,1,29,5,0.556172888
2018,1,29,6,0.507673189
2018,1,29,7,0.458242783
2018,1,29,8,0.42229134
2018,1,29,9,0.393690797
2018,1,29,10,0.358540031
2018,1,29,11,0.323812816
2018,1,29,12,0.296102993
2018,1,29,13,0.284860857
2018,1,29,14,0.29297766
2018,1,29,15,0.132691102
2018,1,29,16,0.091960468
2018,1,29,17,0.078917171
2018,1,29,18,0.085977904
2018,1,29,19,0.113852229
2018,1,29,20,0.14839619
2018,1,29,21,0.161089792
2018,1,29,22,0.142460452
2018,1,29,23,0.113011848
2018,1,29,24,0.143787316
2018,1,30,1,0.232005456
2018,1,30,2,0.448509117
2018,1,30,3,0.671152844
2018,1,30,4,0.831869348
2018,1,30,5,0.947116366
2018,1,30,6,0.94869446
2018,1,30,7,0.915000751
2018,1,30,8,0.878373392
2018,1,30,9,0.850231485
2018,1,30,10,0.828163167
2018,1,30,11,0.826490348
2018,1,30,12,0.850866143
2018,1,30,13,0.871200949
2018,1,30,14,0.858953977
2018,1,30,15,0.43006038
2018,1,30,16,0.279087805
2018,1,30,17,0.544401176
2018,1,30,18,0.802585006
2018,1,30,19,0.921607586
2018,1,30,20,0.925550164
2018,1,30,21,0.910810033
2018,1,30,22,0.891499982
2018,1,30,23,0.900962185
2018,1,30,24,0.966814691
2018,1,31,1,0.995407019
2018,1,31,2,1
2018,1,31,3,1
2018,1,31,4,1
2018,1,31,5,1
2018,1,31,6,1
2018,1,31,7,1
2018,1,31,8,0.999250237
2018,1,31,9,0.991847501
2018,1,31,10,0.986146163
2018,1,31,11,0.983808027
2018,1,31,12,0.979713815
2018,1,31,13,0.966635626
2018,1,31,14,0.936370907
2018,1,31,15,0.609197042
2018,1,31,16,0.380034117
2018,1,31,17,0.371708957
2018,1,31,18,0.390022617
2018,1,31,19,0.384678813
2018,1,31,20,0.369645722
2018,1,31,21,0.374704813
2018,1,31,22,0.391132476
2018,1,31,23,0.429892198
2018,1,31,24,0.622143781
2018,2,1,1,0.760870357
2018,2,1,2,0.839439585
2018,2,1,3,0.83740536
2018,2,1,4,0.802321231
2018,2,1,5,0.794567622
2018,2,1,6,0.810722256
2018,2,1,7,0.832950571
2018,2,1,8,0.807745933
2018,2,1,9,0.788861364
2018,2,1,10,0.777959283
2018,2,1,11,0.756961559
2018,2,1,12,0.742286212
2018,2,1,13,0.748716506
2018,2,1,14,0.727809708
2018,2,1,15,0.654735442
2018,2,1,16,0.758476566
2018,2,1,17,0.648560284
2018,2,1,18,0.500649779
2018,2,1,19,0.371946531
2018,2,1,20,0.306545251
2018,2,1,21,0.281037154
2018,2,1,22,0.287272643
2018,2,1,23,0.318528511
2018,2,1,24,0.419187831
2018,2,2,1,0.700414281
2018,2,2,2,0.734992006
2018,2,2,3,0.63843301
2018,2,2,4,0.575856953
2018,2,2,5,0.516584101
2018,2,2,6,0.459123576
2018,2,2,7,0.389869099
2018,2,2,8,0.312670228
2018,2,2,9,0.262832824
2018,2,2,10,0.220976223
2018,2,2,11,0.192202476
2018,2,2,12,0.178862985
2018,2,2,13,0.177504861
2018,2,2,14,0.182626215
